t,value
1685319750,132
1685319780,132
1685319810,132
1685319840,132
1685319870,132
1685319900,132
1685319930,132
1685320110,132
1685320140,132
1685320170,132
1685320200,132
1685320230,132
1685320260,132
1685320290,132
1685320320,132
1685320350,132
1685320380,132
1685320410,132
1685320440,132
1685320470,132
1685320500,132
1685320530,132
1685320560,132
1685320590,132
1685320620,132
1685320650,132
1685320680,132
1685320710,132
1685320740,132
1685320770,132
1685320800,132
1685320830,132
1685320860,132
1685320890,132
1685320920,132
1685320950,132
1685320980,132
1685321010,132
1685321040,132
1685321070,132
1685321100,132
1685321130,132
1685330370,132
1685330400,132
1685330430,132
1685330460,132
1685330490,132
1685330520,132
1685330550,132
1685330580,132
1685330610,132
1685330640,132
1685330670,132
1685330700,132
1685330730,132
1685330760,132
1685330790,132
1685330820,132
1685330850,132
1685330880,132
1685330910,132
1685330940,132
1685330970,132
1685331000,132
1685331030,132
1685331060,132
1685331090,132
1685331120,132
1685331150,132
1685331180,132
1685331210,132
1685331240,132
1685331270,132
1685331301,132
1685331331,132
1685331361,132
1685331391,132
1685331421,132
1685331451,132
1685331481,132
1685331511,132
1685331541,132
1685331571,132
1685331601,132
1685331631,132
1685331661,132
1685331691,132
1685331721,132
1685331751,132
1685331781,132
1685331811,132
1685331841,132
1685331871,132
1685331901,132
1685331931,132
1685331961,132
1685331991,132
1685332021,132
1685332051,132
1685332081,132
1685332111,132
1685332141,132
1685332171,132
1685332201,132
1685332231,132
1685332261,132
1685332291,132
